survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,2,female,43.92237501249339,1,0,34.0562,C,Second,woman,False,,Cherbourg,no,False
1,2,male,18.937671957221298,1,0,9.5076,S,Second,man,True,,Southampton,yes,False
0,3,male,0.42,0,0,14.601,S,Third,child,False,A,Southampton,no,True
0,3,male,33.40581797882935,0,2,59.7585,S,Third,man,True,,Southampton,no,False
0,1,female,44.035702955691036,0,0,6.9823,S,First,woman,False,,Southampton,no,True
0,3,female,10.104036409066413,0,1,56.4691,C,Third,child,False,,Cherbourg,no,False
0,3,male,39.41818851052141,0,0,26.6305,S,Third,man,True,,Southampton,no,True
0,3,male,39.516012616423296,0,0,46.248,C,Third,man,True,,Cherbourg,no,True
0,3,male,0.42,0,1,40.2626,S,Third,child,False,,Southampton,no,False
1,2,female,16.1238148301018,0,0,7.489,S,Second,woman,False,E,Southampton,yes,True
1,1,male,23.960482679390896,0,0,27.0871,Q,First,man,True,C,Queenstown,yes,True
1,2,female,27.095451996589063,0,0,65.136,C,Second,woman,False,C,Cherbourg,yes,True
0,3,male,,0,0,18.22,S,Third,man,True,,Southampton,no,True
0,3,male,,1,0,109.4453,S,Third,man,True,,Southampton,no,False
1,2,male,53.93650192214034,0,0,19.3803,S,Second,man,True,,Southampton,yes,True
0,1,male,,0,1,4.961,S,First,man,True,,Southampton,no,False
0,3,male,,3,0,15.8865,C,Third,man,True,,Cherbourg,no,False
0,3,female,29.103042584768023,0,2,97.578,C,Third,woman,False,,Cherbourg,no,False
0,3,male,37.48781707938658,0,2,12.4051,S,Third,man,True,,Southampton,no,False
1,1,male,30.448582462312515,0,0,65.2275,Q,First,man,True,F,Queenstown,yes,True
0,2,male,26.71694993299439,0,0,68.6098,S,Second,man,True,,Southampton,no,True
1,1,female,20.27475830427843,0,2,13.8805,S,First,woman,False,,Southampton,yes,False
0,3,female,20.099102740719815,0,2,2.7991,S,Third,woman,False,E,Southampton,no,False
0,1,male,21.031778395962284,0,0,41.518,S,First,man,True,G,Southampton,no,True
0,3,female,,1,0,12.0189,S,Third,woman,False,,Southampton,no,False
0,2,male,15.284388660174086,0,0,49.1857,n,Second,child,False,A,,no,True
1,3,male,35.40240374031822,0,0,18.8232,S,Third,man,True,,Southampton,yes,True
1,3,female,50.188423956589034,1,0,21.3842,S,Third,woman,False,,Southampton,yes,False
1,3,female,,0,0,48.4504,C,Third,woman,False,,Cherbourg,yes,True
1,1,female,24.341009830701513,1,0,15.5157,S,First,woman,False,,Southampton,yes,False
0,1,male,,0,0,18.8505,S,First,man,True,,Southampton,no,True
1,1,male,,1,0,15.1955,C,First,man,True,,Cherbourg,yes,False
0,3,female,,0,0,14.7419,Q,Third,woman,False,,Queenstown,no,True
0,3,male,42.00414949989835,1,0,24.0352,Q,Third,man,True,,Queenstown,no,False
0,3,male,,2,0,53.2727,S,Third,man,True,,Southampton,no,False
0,3,male,26.266855257021135,0,0,14.4595,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,23.9205,S,Third,man,True,,Southampton,no,True
0,1,male,,0,0,35.77,S,First,man,True,,Southampton,no,True
1,3,female,34.48594251178301,0,3,10.109,Q,Third,woman,False,,Queenstown,yes,False
0,2,male,38.68893181973917,0,0,10.4672,S,Second,man,True,,Southampton,no,True
0,2,male,13.908338315856833,0,0,87.2378,S,Second,child,False,,Southampton,no,True
0,3,male,27.44058862222801,0,0,41.3986,S,Third,man,True,,Southampton,no,True
0,1,female,,0,4,27.7185,S,First,woman,False,C,Southampton,no,False
1,1,male,,0,0,33.5952,C,First,man,True,,Cherbourg,yes,True
0,3,male,29.755144603786217,0,0,0.9575,S,Third,man,True,D,Southampton,no,True
1,1,female,6.11836936755703,0,0,30.9959,S,First,child,False,,Southampton,yes,True
1,3,female,22.015902342793904,0,0,22.9376,S,Third,woman,False,,Southampton,yes,True
0,2,female,32.95707388814078,0,0,25.4092,S,Second,woman,False,,Southampton,no,True
0,2,female,41.902160959576506,0,0,14.3415,S,Second,woman,False,,Southampton,no,True
1,2,male,,0,0,2.7365,S,Second,man,True,,Southampton,yes,True
1,2,female,61.42092318097528,0,0,6.9182,S,Second,woman,False,,Southampton,yes,True
1,3,male,2.2301405018640104,0,0,96.9458,S,Third,child,False,,Southampton,yes,True
1,2,female,21.526347461660436,1,0,16.9189,Q,Second,woman,False,,Queenstown,yes,False
0,3,female,28.496012749354787,0,1,20.2422,Q,Third,woman,False,,Queenstown,no,False
0,3,female,26.789137128483468,0,0,1.7436,Q,Third,woman,False,,Queenstown,no,True
0,3,female,,0,1,1.2329,S,Third,woman,False,,Southampton,no,False
1,3,male,,1,0,40.667,S,Third,man,True,,Southampton,yes,False
1,3,male,,2,0,24.8711,S,Third,man,True,,Southampton,yes,False
0,1,female,30.395440966732426,0,0,22.8849,C,First,woman,False,,Cherbourg,no,True
0,1,female,,0,2,8.9695,Q,First,woman,False,C,Queenstown,no,False
0,2,male,,1,0,43.9696,C,Second,man,True,,Cherbourg,no,False
0,3,male,6.248237223425765,0,0,5.9315,S,Third,child,False,B,Southampton,no,True
1,1,male,19.308721884242452,0,0,6.7826,Q,First,man,True,,Queenstown,yes,True
1,3,female,31.977291430436896,0,0,19.8837,S,Third,woman,False,,Southampton,yes,True
1,3,female,32.05979401527274,0,0,10.8599,S,Third,woman,False,B,Southampton,yes,True
0,2,male,30.299996262494794,2,0,9.1546,S,Second,man,True,B,Southampton,no,False
0,3,male,,8,0,33.3691,S,Third,man,True,,Southampton,no,False
1,1,female,,1,0,33.8938,S,First,woman,False,,Southampton,yes,False
1,1,female,30.08687532810277,0,0,56.0349,S,First,woman,False,,Southampton,yes,True
0,3,male,37.99534528687136,1,0,17.4133,S,Third,man,True,,Southampton,no,False
1,3,male,28.469097631715876,0,0,2.4438,S,Third,man,True,,Southampton,yes,True
0,3,male,11.671803038111566,0,0,10.2958,C,Third,child,False,A,Cherbourg,no,True
0,2,male,,1,0,125.9759,S,Second,man,True,,Southampton,no,False
0,2,male,41.74735870205082,0,0,29.2048,S,Second,man,True,,Southampton,no,True
0,3,female,49.890846362667304,0,3,39.8304,C,Third,woman,False,,Cherbourg,no,False
0,3,female,,0,2,0.2378,C,Third,woman,False,,Cherbourg,no,False
0,3,male,33.066261271259506,1,1,23.5137,S,Third,man,True,A,Southampton,no,False
1,2,female,12.254577270757952,0,0,1.2317,S,Second,child,False,,Southampton,yes,True
0,3,male,29.6079024267934,0,0,27.1182,S,Third,man,True,,Southampton,no,True
0,2,male,52.352699413281115,0,0,81.6402,S,Second,man,True,,Southampton,no,True
1,1,male,,1,0,111.2576,S,First,man,True,,Southampton,yes,False
0,3,male,26.691575921083846,1,0,25.0429,C,Third,man,True,,Cherbourg,no,False
0,1,female,38.815065876197636,0,1,19.7343,S,First,woman,False,,Southampton,no,False
1,3,female,11.293769504073733,0,1,93.4036,C,Third,child,False,,Cherbourg,yes,False
0,2,male,19.61276502120107,0,1,36.0531,C,Second,man,True,,Cherbourg,no,False
0,1,male,13.979224830176289,4,0,2.1607,Q,First,child,False,D,Queenstown,no,False
0,3,female,36.50879136605227,0,0,20.1844,S,Third,woman,False,D,Southampton,no,True
0,3,male,40.05450074594134,2,0,8.8472,C,Third,man,True,,Cherbourg,no,False
1,3,male,27.469522605623684,0,0,20.4312,S,Third,man,True,,Southampton,yes,True
1,3,female,,1,0,19.5719,S,Third,woman,False,A,Southampton,yes,False
1,3,male,29.413638143747903,1,0,28.0984,S,Third,man,True,A,Southampton,yes,False
1,3,male,22.64459158522979,1,0,14.2084,S,Third,man,True,,Southampton,yes,False
1,3,male,18.155524781940702,4,0,5.7783,C,Third,man,True,,Cherbourg,yes,False
0,2,female,34.61540843698407,0,0,22.5598,S,Second,woman,False,D,Southampton,no,True
1,3,male,,0,1,57.0955,S,Third,man,True,,Southampton,yes,False
0,1,male,,0,0,35.1199,S,First,man,True,E,Southampton,no,True
1,3,female,10.210340179733791,1,1,13.3001,S,Third,child,False,,Southampton,yes,False
1,3,male,6.452723231168729,0,0,88.2746,S,Third,child,False,,Southampton,yes,True
0,1,female,33.28892279035496,0,0,78.3355,C,First,woman,False,,Cherbourg,no,True
0,3,male,31.880878853554375,0,0,7.5637,S,Third,man,True,,Southampton,no,True
0,3,female,31.15754137036835,0,0,1.2949,S,Third,woman,False,,Southampton,no,True
0,1,male,,0,4,43.5383,S,First,man,True,,Southampton,no,False
1,3,male,46.98340341369819,0,0,56.6075,S,Third,man,True,,Southampton,yes,True
1,3,male,21.112135303035828,1,0,110.697,S,Third,man,True,B,Southampton,yes,False
0,1,male,35.593923419957065,0,0,71.0264,S,First,man,True,,Southampton,no,True
0,3,female,6.7955751426147835,0,2,29.5476,Q,Third,child,False,,Queenstown,no,False
0,2,female,49.69129132081858,0,0,24.3153,S,Second,woman,False,,Southampton,no,True
0,3,male,11.649947045836722,0,0,0.9092,S,Third,child,False,E,Southampton,no,True
0,3,male,19.403823773913654,1,0,9.1201,S,Third,man,True,,Southampton,no,False
0,3,female,21.03321205087016,1,0,19.8182,C,Third,woman,False,D,Cherbourg,no,False
1,3,female,7.569070547527925,0,0,31.885,S,Third,child,False,,Southampton,yes,True
0,3,male,30.172345872424145,1,0,26.2351,S,Third,man,True,,Southampton,no,False
0,3,male,32.80160608892148,1,0,43.7039,C,Third,man,True,,Cherbourg,no,False
1,2,male,26.953501770767527,1,1,10.5674,S,Second,man,True,,Southampton,yes,False
0,3,female,,0,0,26.8001,S,Third,woman,False,,Southampton,no,True
1,1,male,58.459100405349815,3,0,2.9711,S,First,man,True,,Southampton,yes,False
1,3,male,37.6638465492739,0,0,17.1904,S,Third,man,True,,Southampton,yes,True
0,1,male,67.8962196329244,0,0,44.6594,S,First,man,True,,Southampton,no,True
0,1,female,,0,0,38.0673,S,First,woman,False,D,Southampton,no,True
0,1,male,43.58929230856616,0,0,150.4256,S,First,man,True,,Southampton,no,True
0,3,male,40.99947136721537,0,0,10.4837,S,Third,man,True,,Southampton,no,True
0,2,male,25.486661005088248,0,0,22.2029,S,Second,man,True,,Southampton,no,True
0,3,male,50.16023806535875,0,0,12.8728,Q,Third,man,True,,Queenstown,no,True
0,1,male,23.82155488960021,1,0,18.7049,C,First,man,True,,Cherbourg,no,False
0,2,male,24.467074418343195,1,0,62.6149,C,Second,man,True,C,Cherbourg,no,False
0,3,male,0.42,0,0,37.1161,S,Third,child,False,,Southampton,no,True
1,3,male,35.630906779268244,1,0,68.9343,S,Third,man,True,,Southampton,yes,False
0,2,male,10.480106280605106,1,2,7.3269,S,Second,child,False,,Southampton,no,False
0,3,female,,1,1,66.5386,S,Third,woman,False,,Southampton,no,False
0,3,female,14.8198152381971,0,0,1.9842,Q,Third,child,False,,Queenstown,no,True
1,3,male,24.389642679885206,1,0,70.6668,S,Third,man,True,,Southampton,yes,False
0,1,female,36.136263338152816,3,1,12.8509,S,First,woman,False,F,Southampton,no,False
1,1,male,29.861552664206982,1,1,12.1631,S,First,man,True,,Southampton,yes,False
1,3,male,39.9897987123342,0,1,23.1074,S,Third,man,True,,Southampton,yes,False
0,1,male,48.05162826599165,0,0,90.9644,S,First,man,True,D,Southampton,no,True
1,3,male,24.352458918171386,0,0,1.5765,S,Third,man,True,,Southampton,yes,True
0,3,female,22.76077499076635,0,1,13.9819,S,Third,woman,False,,Southampton,no,False
1,3,female,43.58705097809914,0,0,62.5299,C,Third,woman,False,,Cherbourg,yes,True
1,3,female,44.73718568672898,0,0,16.2375,S,Third,woman,False,,Southampton,yes,True
0,3,male,40.43856758749418,1,0,7.1513,Q,Third,man,True,,Queenstown,no,False
0,2,male,15.893407302279433,1,0,17.8075,C,Second,child,False,,Cherbourg,no,False
1,3,male,35.82849844977326,0,0,15.6824,S,Third,man,True,,Southampton,yes,True
0,2,male,31.28732375868569,3,0,79.5344,C,Second,man,True,,Cherbourg,no,False
0,3,male,,0,0,46.2137,S,Third,man,True,F,Southampton,no,True
0,3,male,21.39335470170264,0,0,22.6505,Q,Third,man,True,,Queenstown,no,True
0,3,male,5.5341507783262145,1,0,143.4258,S,Third,child,False,,Southampton,no,False
1,3,male,39.708433605513946,1,0,20.1574,S,Third,man,True,,Southampton,yes,False
0,3,female,0.42,3,0,1.9321,S,Third,child,False,,Southampton,no,False
0,2,female,19.093055643503213,0,0,9.7947,S,Second,woman,False,,Southampton,no,True
0,2,female,14.86366508588473,1,1,18.445,Q,Second,child,False,D,Queenstown,no,False
1,3,male,14.76594727186667,0,0,5.4957,S,Third,child,False,,Southampton,yes,True
0,1,male,18.839043671151114,1,0,94.9315,S,First,man,True,A,Southampton,no,False
1,1,male,,1,0,46.8854,S,First,man,True,,Southampton,yes,False
0,2,female,41.5980535755924,0,1,10.0582,Q,Second,woman,False,,Queenstown,no,False
1,2,male,,0,0,28.7727,S,Second,man,True,,Southampton,yes,True
0,2,male,46.13754034195621,1,0,41.1566,S,Second,man,True,,Southampton,no,False
0,1,female,14.296691250087576,0,0,91.2856,S,First,child,False,,Southampton,no,True
0,1,male,12.324890906666205,0,0,68.7143,S,First,child,False,,Southampton,no,True
1,1,male,,1,1,23.3129,S,First,man,True,,Southampton,yes,False
1,3,male,,0,1,47.9816,S,Third,man,True,,Southampton,yes,False
0,2,male,23.026180677041815,1,0,26.5929,S,Second,man,True,,Southampton,no,False
1,2,male,13.235817041377107,0,0,25.906,C,Second,child,False,,Cherbourg,yes,True
1,3,male,50.86611218805013,0,0,3.9244,S,Third,man,True,,Southampton,yes,True
0,1,male,4.758513011256635,1,0,4.3416,S,First,child,False,,Southampton,no,False
0,3,male,21.022823937518375,0,0,24.2798,S,Third,man,True,,Southampton,no,True
0,3,female,33.01435964900951,0,0,10.0835,C,Third,woman,False,,Cherbourg,no,True
0,1,male,,1,0,0.6846,Q,First,man,True,,Queenstown,no,False
1,2,male,,0,0,41.3177,S,Second,man,True,,Southampton,yes,True
1,3,male,36.66441746869283,0,2,1.0634,S,Third,man,True,C,Southampton,yes,False
1,3,female,21.443936347852155,0,0,29.1266,S,Third,woman,False,,Southampton,yes,True
0,3,male,37.94296326648168,1,1,24.9478,S,Third,man,True,,Southampton,no,False
0,3,male,,1,0,111.6634,S,Third,man,True,D,Southampton,no,False
1,1,female,6.667264163945408,1,0,21.3184,S,First,child,False,,Southampton,yes,False
1,3,female,41.197555375650055,0,0,2.116,S,Third,woman,False,,Southampton,yes,True
1,1,male,43.770704152779345,1,0,25.833,Q,First,man,True,,Queenstown,yes,False
1,3,female,41.34879320790686,0,0,59.2305,S,Third,woman,False,,Southampton,yes,True
1,3,male,30.183254922154127,1,0,185.476,S,Third,man,True,,Southampton,yes,False
0,3,male,15.835435194330115,0,6,18.1196,S,Third,child,False,,Southampton,no,False
0,3,male,0.42,1,0,12.4325,S,Third,child,False,,Southampton,no,False
1,1,male,31.977277278321033,1,0,76.3602,S,First,man,True,,Southampton,yes,False
0,1,female,45.38815986624231,0,2,6.8346,S,First,woman,False,,Southampton,no,False
0,1,male,44.13522080170467,0,0,30.7712,S,First,man,True,,Southampton,no,True
0,1,male,41.53305622921079,1,0,16.7567,S,First,man,True,,Southampton,no,False
1,3,female,28.623940811033833,0,0,1.3508,Q,Third,woman,False,,Queenstown,yes,True
0,2,female,45.468230523456704,4,1,13.7372,S,Second,woman,False,D,Southampton,no,False
0,1,male,43.10034644591059,0,3,9.9239,S,First,man,True,,Southampton,no,False
0,3,male,23.571813369537406,0,3,37.3086,S,Third,man,True,,Southampton,no,False
1,3,male,39.51067124092978,0,0,95.6929,S,Third,man,True,E,Southampton,yes,True
1,3,female,,0,1,10.0477,S,Third,woman,False,,Southampton,yes,False
0,3,female,37.53035135844537,3,0,53.7249,C,Third,woman,False,E,Cherbourg,no,False
1,1,female,10.862808657634528,0,0,1.8338,Q,First,child,False,C,Queenstown,yes,True
0,2,male,11.977928774242638,1,0,24.873,Q,Second,child,False,,Queenstown,no,False
0,3,male,45.04400218068666,0,0,2.3558,S,Third,man,True,,Southampton,no,True
1,3,male,43.29462177196909,0,4,87.5389,C,Third,man,True,,Cherbourg,yes,False
1,1,male,38.887367338349556,0,2,46.8168,S,First,man,True,,Southampton,yes,False
1,3,male,30.97554790526604,0,0,34.5441,S,Third,man,True,,Southampton,yes,True
1,1,female,0.42,4,0,55.9212,S,First,child,False,,Southampton,yes,False
0,1,male,28.6142988960059,0,0,33.5769,C,First,man,True,,Cherbourg,no,True
0,3,male,,0,1,111.7976,S,Third,man,True,,Southampton,no,False
0,3,female,21.946367910385923,0,0,40.302,S,Third,woman,False,,Southampton,no,True
0,3,male,19.368834204280553,0,0,83.2604,S,Third,man,True,,Southampton,no,True
0,1,female,,0,0,23.442,S,First,woman,False,,Southampton,no,True
1,3,male,,1,0,4.009,S,Third,man,True,,Southampton,yes,False
0,2,male,36.29452995981452,0,0,24.1871,C,Second,man,True,,Cherbourg,no,True
1,1,male,,0,2,4.3687,S,First,man,True,,Southampton,yes,False
1,3,male,15.179162390676373,0,0,28.9059,S,Third,child,False,,Southampton,yes,True
1,3,female,32.50150762935581,5,0,21.2112,S,Third,woman,False,,Southampton,yes,False
0,3,male,48.83484516992084,0,0,31.3752,S,Third,man,True,,Southampton,no,True
0,3,male,56.07873615784595,0,0,0.3251,S,Third,man,True,G,Southampton,no,True
0,3,male,,0,3,6.9782,S,Third,man,True,,Southampton,no,False
0,3,male,26.249818563467418,0,0,21.7658,S,Third,man,True,,Southampton,no,True
1,1,female,33.60084898799423,0,0,96.7885,S,First,woman,False,B,Southampton,yes,True
0,2,male,33.232737181899054,0,0,15.5807,S,Second,man,True,,Southampton,no,True
0,2,female,49.807991958901724,1,0,17.7839,S,Second,woman,False,,Southampton,no,False
1,2,female,15.252320507077524,0,0,40.3853,S,Second,child,False,,Southampton,yes,True
0,3,male,25.641840250592686,1,0,29.8113,S,Third,man,True,,Southampton,no,False
1,3,female,13.501450760290599,0,0,11.4356,Q,Third,child,False,,Queenstown,yes,True
1,1,male,,0,0,17.0344,S,First,man,True,,Southampton,yes,True
1,1,male,35.1603232195173,0,0,7.9056,S,First,man,True,,Southampton,yes,True
0,3,male,41.442938703736885,0,0,108.9012,S,Third,man,True,,Southampton,no,True
0,1,female,20.283820440715694,1,0,4.5077,S,First,woman,False,,Southampton,no,False
1,3,female,40.895374440141694,0,0,14.9716,Q,Third,woman,False,,Queenstown,yes,True
0,3,male,45.81789052841354,0,1,0.843,S,Third,man,True,,Southampton,no,False
1,3,female,57.75323697728416,0,2,8.074,S,Third,woman,False,F,Southampton,yes,False
1,3,male,30.71132930819521,8,0,48.8239,S,Third,man,True,,Southampton,yes,False
1,3,male,20.42341435206007,0,0,7.2326,S,Third,man,True,,Southampton,yes,True
0,2,male,15.164156991714526,2,0,2.6871,C,Second,child,False,,Cherbourg,no,False
0,3,female,,0,0,20.7148,S,Third,woman,False,,Southampton,no,True
1,3,male,47.8218201703523,0,1,0.3226,S,Third,man,True,,Southampton,yes,False
0,2,male,,0,0,2.8521,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,53.0757,S,Third,man,True,G,Southampton,no,True
0,3,male,17.107605075843843,0,1,47.5305,C,Third,man,True,G,Cherbourg,no,False
1,3,male,,0,1,79.429,S,Third,man,True,,Southampton,yes,False
1,3,male,27.502445902355294,2,0,62.0715,S,Third,man,True,,Southampton,yes,False
0,3,female,,1,0,37.0109,S,Third,woman,False,F,Southampton,no,False
0,3,male,43.21370644691384,1,0,1.7308,S,Third,man,True,,Southampton,no,False
0,3,male,55.99348730375024,0,0,49.1746,S,Third,man,True,,Southampton,no,True
1,3,male,20.167233715479497,0,2,60.1377,S,Third,man,True,,Southampton,yes,False
0,3,female,23.43255133211291,0,1,51.6765,S,Third,woman,False,,Southampton,no,False
0,3,female,,1,1,22.8701,S,Third,woman,False,,Southampton,no,False
1,3,male,37.54532307064325,2,0,8.5375,S,Third,man,True,,Southampton,yes,False
1,1,female,27.47447795514008,0,1,60.1001,Q,First,woman,False,,Queenstown,yes,False
1,3,male,49.815232460262635,0,0,41.8239,S,Third,man,True,,Southampton,yes,True
1,3,male,46.32604679014794,0,0,127.2166,S,Third,man,True,,Southampton,yes,True
0,1,male,12.510795872871046,0,0,5.4495,S,First,child,False,,Southampton,no,True
0,3,male,37.254038400835014,0,0,8.2352,S,Third,man,True,,Southampton,no,True
1,1,male,51.74491894098779,0,0,7.6636,S,First,man,True,,Southampton,yes,True
1,2,female,,1,0,50.6447,C,Second,woman,False,,Cherbourg,yes,False
1,3,female,25.43315935899343,0,0,6.6625,S,Third,woman,False,F,Southampton,yes,True
1,1,female,,0,0,2.2213,S,First,woman,False,,Southampton,yes,True
0,3,male,22.347403574909166,8,0,210.7063,S,Third,man,True,,Southampton,no,False
0,3,male,5.507452497289805,0,0,0.8092,S,Third,child,False,,Southampton,no,True
1,3,female,,0,0,58.0659,S,Third,woman,False,B,Southampton,yes,True
1,1,male,30.823368921689834,0,1,14.6416,S,First,man,True,,Southampton,yes,False
1,2,male,51.64717063246529,0,0,59.3359,S,Second,man,True,E,Southampton,yes,True
1,3,male,20.806268218484895,0,0,26.0443,S,Third,man,True,,Southampton,yes,True
1,3,female,20.380019107245907,1,0,74.6728,S,Third,woman,False,,Southampton,yes,False
0,3,male,54.37205552110065,0,1,83.9229,S,Third,man,True,A,Southampton,no,False
0,2,male,13.630266803668189,0,0,0.2943,S,Second,child,False,,Southampton,no,True
0,3,female,5.611974140756882,0,0,2.5247,S,Third,child,False,C,Southampton,no,True
0,3,male,17.686526176006254,0,0,9.2788,S,Third,man,True,,Southampton,no,True
0,3,male,20.08962505748169,1,0,35.6322,S,Third,man,True,,Southampton,no,False
0,1,male,4.361930271921551,1,0,70.5724,S,First,child,False,,Southampton,no,False
0,3,male,27.843395259018134,0,0,19.8377,S,Third,man,True,F,Southampton,no,True
0,3,female,,1,0,30.0708,S,Third,woman,False,,Southampton,no,False
0,3,male,,0,0,6.7256,S,Third,man,True,,Southampton,no,True
0,2,male,30.96988417482704,5,0,52.6337,S,Second,man,True,E,Southampton,no,False
0,3,female,,0,0,110.1639,S,Third,woman,False,,Southampton,no,True
1,3,female,28.49092800852275,5,0,10.0719,S,Third,woman,False,,Southampton,yes,False
0,1,female,32.39254255124536,1,0,21.9878,C,First,woman,False,,Cherbourg,no,False
0,3,male,32.56124530763056,0,0,2.8997,S,Third,man,True,,Southampton,no,True
0,3,male,17.915444624682735,0,0,26.3725,S,Third,man,True,,Southampton,no,True
1,1,female,51.42944729417209,8,0,22.4991,S,First,woman,False,,Southampton,yes,False
0,2,female,47.792474094105124,1,1,5.023,S,Second,woman,False,,Southampton,no,False
1,3,male,46.953715259996926,0,2,18.7892,S,Third,man,True,,Southampton,yes,False
0,1,male,44.39829823788602,1,0,13.0933,S,First,man,True,,Southampton,no,False
0,3,male,,0,0,23.7569,S,Third,man,True,,Southampton,no,True
0,2,female,43.12790447827351,0,0,28.37,S,Second,woman,False,,Southampton,no,True
0,3,male,39.20622069946786,0,1,0.2747,S,Third,man,True,,Southampton,no,False
1,1,male,7.420407583315143,0,0,46.0884,S,First,child,False,F,Southampton,yes,True
1,3,male,26.583799850323864,1,0,40.196,S,Third,man,True,,Southampton,yes,False
1,3,female,33.71350501521668,0,1,14.6883,S,Third,woman,False,,Southampton,yes,False
0,3,female,,1,0,1.7513,S,Third,woman,False,,Southampton,no,False
0,3,male,,0,1,45.2803,S,Third,man,True,,Southampton,no,False
1,1,female,17.163796954464626,0,0,99.9808,S,First,woman,False,,Southampton,yes,True
0,3,female,54.283132647553465,0,0,8.8433,S,Third,woman,False,,Southampton,no,True
0,1,male,30.334806559351392,0,1,12.5857,S,First,man,True,,Southampton,no,False
0,1,male,25.990303514905168,0,0,6.5402,S,First,man,True,,Southampton,no,True
0,2,male,24.95678614946222,0,0,27.6995,C,Second,man,True,,Cherbourg,no,True
1,3,female,6.158449048664568,0,0,5.417,Q,Third,child,False,,Queenstown,yes,True
1,3,male,,0,2,14.1795,S,Third,man,True,,Southampton,yes,False
1,3,male,36.91353623093204,0,0,38.4489,S,Third,man,True,,Southampton,yes,True
0,2,female,24.11194175088437,0,0,26.4441,S,Second,woman,False,,Southampton,no,True
0,2,male,35.7965609200896,1,0,15.7302,S,Second,man,True,E,Southampton,no,False
0,3,female,,1,0,17.5541,S,Third,woman,False,,Southampton,no,False
0,2,male,27.656545242974513,0,0,26.5904,S,Second,man,True,F,Southampton,no,True
0,3,male,34.28983473582516,0,0,0.1894,Q,Third,man,True,,Queenstown,no,True
1,1,female,32.450082717419605,0,0,2.6328,S,First,woman,False,,Southampton,yes,True
1,3,female,,3,2,68.6118,S,Third,woman,False,,Southampton,yes,False
0,3,male,,0,0,2.6107,S,Third,man,True,,Southampton,no,True
1,1,female,54.02321248953279,0,0,39.5066,C,First,woman,False,D,Cherbourg,yes,True
1,1,female,22.55953192220749,0,0,81.3438,S,First,woman,False,F,Southampton,yes,True
0,3,male,29.929209389621672,0,0,10.1639,S,Third,man,True,,Southampton,no,True
0,3,female,28.442041617040307,0,2,14.9027,S,Third,woman,False,,Southampton,no,False
0,2,male,,1,0,27.0952,C,Second,man,True,,Cherbourg,no,False
0,3,male,,0,0,68.7344,S,Third,man,True,,Southampton,no,True
0,1,male,41.40919949737274,0,0,91.6311,C,First,man,True,,Cherbourg,no,True
1,2,female,15.587986456098262,0,0,43.3217,S,Second,child,False,,Southampton,yes,True
0,3,female,34.90815421328516,0,0,2.9174,S,Third,woman,False,,Southampton,no,True
0,2,male,37.93515527458941,1,0,35.6165,S,Second,man,True,,Southampton,no,False
0,3,male,19.57022988385721,0,0,17.0064,S,Third,man,True,,Southampton,no,True
